mmsi,timestamp,lat,lon,speed,time_diff,suspicious_gap,is_fishing,previous_fishing,next_fishing,hidden_fishing
120589441,2024-01-04 04:13:00,43.7341746518552,-2.187594024959157,3.02,140.0,True,True,True,True,True
120589441,2024-01-04 11:50:00,40.82727065272829,29.469892380809704,7.87,54.0,True,False,True,True,True
120589441,2024-01-05 01:51:00,34.40277648850037,33.53311706815248,11.28,193.0,True,False,True,True,True
120589441,2024-01-05 12:49:00,41.44334328764246,9.161351122629464,13.73,43.0,True,False,True,True,True
120589441,2024-01-05 15:20:00,36.559243828859344,32.5800621811335,13.46,73.0,True,False,True,True,True
120589441,2024-01-05 22:07:00,43.498583609305726,23.96771492443083,3.52,141.0,True,True,True,True,True
120589441,2024-01-06 04:19:00,42.875993762523336,27.494792806063785,13.73,209.0,True,False,True,True,True
120589441,2024-01-06 12:59:00,37.06269375065976,27.53169865334588,7.12,38.0,True,False,True,True,True
120589441,2024-01-17 01:18:00,34.789813123221066,-4.287585489888466,8.97,93.0,True,False,True,True,True
120589441,2024-01-18 00:27:00,37.78033543520088,28.68512282091836,3.69,161.0,True,True,True,True,True
120589441,2024-01-18 02:24:00,35.68747862085041,23.94189225535937,9.06,90.0,True,False,True,True,True
120589441,2024-01-24 03:56:00,33.497116774510104,12.564903186220526,13.17,63.0,True,False,True,True,True
120589441,2024-01-24 07:22:00,33.14027661436271,10.023185054355276,3.66,69.0,True,True,True,True,True
120589441,2024-01-24 09:01:00,43.06796793261613,-4.531862678382981,3.41,99.0,True,True,True,True,True
120589441,2024-01-29 09:14:00,42.182891029886726,12.192293737244665,12.96,177.0,True,False,True,True,True
120589441,2024-01-31 00:44:00,44.258463129979454,-4.282125570387972,11.29,131.0,True,False,True,True,True
120589441,2024-02-09 17:34:00,40.016674308077015,0.9102770993822746,3.13,178.0,True,True,True,True,True
120589441,2024-02-10 20:17:00,40.349631147445,8.976971316402647,2.39,96.0,True,True,True,True,True
120589441,2024-02-11 00:00:00,44.71551779353026,13.37147435392729,13.13,194.0,True,False,True,True,True
120589441,2024-02-23 21:53:00,41.21974339673735,14.33022558933277,9.04,155.0,True,False,True,True,True
120589441,2024-02-27 01:21:00,33.98885321500853,29.567508219632508,5.11,79.0,True,False,True,True,True
120589441,2024-02-29 07:40:00,37.35159310234239,14.212538857882253,13.61,118.0,True,False,True,True,True
120589441,2024-03-01 08:55:00,41.5531418791075,11.660458438210188,11.99,173.0,True,False,True,True,True
120589441,2024-03-01 20:14:00,37.073926980719314,22.886500417114025,2.12,83.0,True,True,True,True,True
120589441,2024-03-05 15:38:00,39.04021538235528,7.046083464433712,2.19,114.0,True,True,True,True,True
120589441,2024-03-06 01:15:00,40.917806057479126,26.79326124738835,13.71,111.0,True,False,True,True,True
120589441,2024-03-12 12:30:00,38.20955668634886,-0.5552921370212696,13.45,142.0,True,False,True,True,True
120589441,2024-03-13 06:22:00,40.94389436750426,27.0831688767944,13.61,84.0,True,False,True,True,True
120589441,2024-03-14 23:55:00,34.07366432459385,11.34289238883042,2.15,196.0,True,True,True,True,True
120589441,2024-03-15 01:04:00,35.73236715832752,26.44701550005755,2.73,69.0,True,True,True,True,True
120589441,2024-03-25 19:59:00,41.43634339845535,33.06721474820143,3.37,43.0,True,True,True,True,True
120589441,2024-03-31 21:26:00,34.882699499687,29.97965807405812,3.25,150.0,True,True,True,True,True
120589441,2024-04-06 11:48:00,38.39837634433704,16.81229829413906,9.29,43.0,True,False,True,True,True
120589441,2024-04-09 20:45:00,42.66958180688879,13.323861525856824,2.01,77.0,True,True,True,True,True
120589441,2024-04-16 12:55:00,41.42821753038128,30.0146320234436,14.59,63.0,True,False,True,True,True
120589441,2024-04-25 20:03:00,37.29424717680018,11.62752432673891,2.7,71.0,True,True,True,True,True
120589441,2024-04-25 21:03:00,37.10512762505088,0.7853488122846786,3.69,60.0,True,True,True,True,True
120589441,2024-04-30 00:13:00,44.16500506235894,15.820327652971155,12.91,147.0,True,False,True,True,True
120589441,2024-04-30 04:21:00,40.04573116849595,17.702250594061073,3.23,176.0,True,True,True,True,True
120589441,2024-04-30 06:49:00,33.73769792447964,34.05283438655464,2.09,148.0,True,True,True,True,True
120589441,2024-04-30 07:53:00,35.1569951129912,1.516168820080931,2.91,64.0,True,True,True,True,True
120589441,2024-05-01 09:24:00,38.771586092196046,1.6137064647024353,3.02,88.0,True,True,True,True,True
120589441,2024-05-08 20:01:00,35.5128805673992,-4.5170250722476775,14.97,210.0,True,False,True,True,True
133477006,2024-01-04 03:42:00,40.66333002072607,9.357736761888562,14.17,172.0,True,False,True,True,True
133477006,2024-01-05 08:35:00,34.92744248906451,-2.1262370937890704,10.75,192.0,True,False,True,True,True
133477006,2024-01-05 17:34:00,34.37483173132361,22.22495446450965,10.95,141.0,True,False,True,True,True
133477006,2024-01-07 04:43:00,34.749830158291225,8.98502834927249,11.35,50.0,True,False,True,True,True
133477006,2024-01-08 22:12:00,35.298534397567416,4.111290696743723,2.39,94.0,True,True,True,True,True
133477006,2024-01-09 00:36:00,35.79348513783842,13.849658596660074,11.35,143.0,True,False,True,True,True
133477006,2024-01-18 10:53:00,37.30333262737405,31.750947045324963,8.82,38.0,True,False,True,True,True
133477006,2024-01-20 08:47:00,39.23494182121463,3.519958854581408,11.96,202.0,True,False,True,True,True
133477006,2024-01-25 21:38:00,33.089323062626086,5.71434516562015,3.1,171.0,True,True,True,True,True
