mmsi,timestamp,lat,lon,speed
918683494,2024-01-01 08:31:00,37.49448142616835,33.979286562806564,3.46
276418858,2024-04-02 06:29:00,40.18390181036444,1.3967642581398971,2.31
558332757,2024-01-25 19:47:00,33.69700334601839,30.513221976772343,3.2
795338498,2024-03-16 06:57:00,41.49687093355254,-4.1560357338721,14.7
356127203,2024-02-15 21:13:00,42.98931168960506,3.7059035378093217,6.82
224125443,2024-01-15 13:22:00,35.2008541182412,7.473931961341046,3.05
195090004,2024-05-14 16:59:00,38.183340223705386,6.940394748119719,11.12
182558725,2024-01-22 22:23:00,34.6739263278245,6.977930589943945,2.73
182558725,2024-04-08 07:29:00,38.472839810604434,27.192214417113554,7.0
384151871,2024-03-08 22:18:00,39.17081326096334,19.28899732334374,5.46
840308265,2024-02-26 11:09:00,40.29053822281726,1.991489071178953,2.13
224125443,2024-02-28 13:22:00,44.38662644704,34.59091335605693,3.62
823785674,2024-05-17 15:29:00,36.65536523008045,-0.9954433257382611,3.37
155183357,2024-01-15 08:22:00,38.28182992487522,0.003567628635932074,9.95
224125443,2024-04-26 08:32:00,33.41266225338262,32.28213648523006,2.52
887223017,2024-01-16 00:46:00,40.95026741224778,7.780154119665848,10.2
744761045,2024-02-07 10:27:00,39.560523352119354,2.5790326765466087,3.94
237543618,2024-04-04 15:16:00,42.30159388033337,33.519456604131754,13.95
743849065,2024-04-18 23:52:00,40.174799745733026,32.79684363594779,5.88
982721837,2024-03-11 02:16:00,35.351794349029745,-3.1456811546679395,8.25
775432482,2024-01-20 09:12:00,37.664127476273784,6.125310302729732,3.66
276418858,2024-03-25 06:11:00,37.28103992032307,6.518314897182611,3.09
817158054,2024-03-17 01:13:00,34.69109069969715,27.890076210915623,5.75
280065450,2024-01-07 14:39:00,44.84264323920621,26.662035541162954,2.4
182558725,2024-01-13 08:21:00,33.06626540548323,28.433918566648202,3.41
656168132,2024-03-12 17:33:00,41.74808601649185,26.622084214123774,5.74
383428540,2024-04-28 16:48:00,37.30158874253127,-0.24936855946968173,13.63
795338498,2024-01-19 16:20:00,40.47957752193069,8.566819018958617,5.64
775432482,2024-04-15 05:43:00,36.73178786058794,8.33251620309663,12.3
120589441,2024-04-17 03:02:00,40.65068965626256,31.375722445629386,2.94
786839637,2024-03-17 15:04:00,34.43513095125962,24.243036276142796,3.52
